text,label
"I had spacefood sticks just about every morning for breakfast in
first and second grade (69-70, 70-71).  They came in Chocolate,
strawberry, and peanut butter and were cylinders about 10cm long
and 1cm in diameter wrapped in yellow space foil (well, it seemed
like space foil at the time).  

The taste is hard to describe, although I remember it fondly.  It was
most certainly more ""candy"" than say a modern ""Power Bar.""  Sort of
a toffee injected with vitamins.  The chocolate Power Bar is a rough
approximation of the taste.  Strawberry sucked.

Man, these were my ""60's.""

",2
,1
"Two developments have brought these type of activities back to
the forefront in 1993.  First, in February, the Russians deployed a
20-m reflector from a Progress vehicle after it had departed from
the Mir Space Station.  While this ""Banner"" reflector was blank,
NPO Energia was very active in reporting that future  Banner
reflectors will be available to advertisers, who could use a space-
based video of their logo or ad printed on the Banner in a TV
commercial, as filmed from the Mir.
   The second development, has been that Space Marketing Inc, the
same company responsible for merchandising space on the Conestoga
booster and COMET spacecraft, is now pushing the ""Environmental
Billboard"".  As laid out by SMI Chief Engineer Dr Ron Humble of the
University of Colorado Space Laboratory and Preston Carter of the
Lawrence Livermore National Laboratory, the ""Environmental
Billboard"" is a large inflatable outer support structure of up to
804x1609 meters.  Advertising is carried by a mylar reflective area,
deployed by the inflatable 'frame'.
   To help sell the concept, the spacecraft responsible for
maintaining the billboard on orbit will carry ""ozone reading
sensors"" to ""continuously monitor the condition of the Earth's
delicate protective ozone layer,"" according to Mike Lawson, head of
SMI. Furthermore, the inflatable billboard has reached its minimum
exposure of 30 days it will be released to re-enter the Earth's
atmosphere. According to IMI, ""as the biodegradable material burns,
it will release ozone-building components that will literally
replenish the ozone layer."" The remaining spacecraft will monitor
the atmosphere for another year before it, too, re-enters and burns
up and ""adds to the ozone supply.""
   This would not be a cheap advertisement, costing at least several
millions of dollars (exact costs were not available).  But SMI
estimates that market exposure would be 3-5X that of the people who
watched the SuperBowl, where a 30-second advertising 'unit' cost
$600,000.  Since SMI is located in Atlanta, Georgia, it is being
promoted as being available in time for the opening of the 1996
Summer Olympics in Atlanta.
  
But back to Brian's questions:
  
    See above. As for serious -- if they can get $15-20 M or so (my
estimate of $5-10 for development costs and a flight unit, plus
$10-15 M for a launch), then it's probably real.  They are claiming to
tailor the orbit to overfly specific locations at specific times for
optimum advertising impact so they probably can't piggy back upon
someone else's planned launch and will have to buy a dedicated
launch.  That's a $10-15 M cost they need to raise, right there.
    And there will probably be some legal challenges to this as
well.  Note there is one potential legal challenge to SMI on the use
of launch vehicle advertising already.  While I don't think the
legal challenges would win out (and yes, I am an amateur astronomer,
and no, I don't really like the idea of this additional light
pollution, but I know of no prohibition of it...),  the legal
challenges and court fights would probably remove any positive
aspects of the advertising.  I can imagine several ways to make the
advertisers look like louts for doing this -- which would change
positive market exposure to negative market exposure, and negate the
space advertising advantage.  (Would you spend $15 M to look like an
idiot?)
   (And light pollution might not be too bad -- if it's in a low
enough orbit, and it relies upon reflected light only, it would
only be visible for a short time just after local dusk and before
dawn.  For maximum market exposure, you want to have it visible just
after dusk --minimizing impact on astronomy, since that's the time
of worse seeing due to day/night thermal turbulence.  It might still
be a problem, but perhaps there are ways to mitigate this...)
    As for having real funding -- none that I can identify.  There
were about 60 expressions of interest made on the Conestoga
advertising opportunity, but that included curious folks and was for
only a $500,000 commitment.  I haven't heard of any serious funding
for this, but I'm sure they are shopping the venture around looking
for some money in order to flesh out the concept some more.  But I
am confident there are no firm or paying customers at this time.
  
   And if anybody wants to cross-post this to sci.astro, please be
my guest.  I don't have posting privileges to that area (or at least
I don't THINK I do...).
 -------------------------------------------------------------------
 Wales Larrison                            Space Technology Investor",2
"
I can't let this pass.
*If* the Islanders get past Pitts. (Assuming the Isles beat the Caps, God 
Willing), them I'm sorry, the Isles will crush the Leafs.
Flame shields up.

********************************************************************************
Of course no one asked me I always interject my opinions on matters I have no 
concern over 
--------------------------------------------------------------------------------
Go Islanders!!!!!! (3 down, 1 to go)
Go Jets for '93
********************************************************************************
",1
"

Sure nails can be cruel.  I'd imagine nails in your eyes would be
*very* painful.  But, this does not imply that a painless death is
cruel, which is what you are supposed to be trying to show.",0
"My last response in this thread fell into a bit-bucket and vanished
(though appearing locally).  I'll repost it, since I always feel
slighted when someone appears to ignore one of my postings in a
conversational thread, I don't want Rob to think I'm doing so.  Since
this is now dated, however, don't feel compelled to respond...


I suspect you meant this in context of the Jewish tradition you have
been referring to; one problem with a highly-interpreted tradition
like this is what happens when a schism occurs, and over time certain
large and influential branches of the heretical group come to favor
exactly a ""face value"" interpretation...


While the context of the time is important, value judgments must
ultimately be according to current understanding, or at least to some
base standard (relative stability/success of a society, e.g.).  This
is obviously true in comparing it to practices of surrounding people,
for instance: according to the Bible, the surrounding people were
immoral savages with repulsive and inhuman habits.  We need to look
rather at what those peoples were *really* like.  For instance, in
what way is it better to worship a single god whose presence is
symbolically strongest in a tent or temple over multiple gods some of
whose presence is symbolically represented in a statue?  By the
Bible's own terms idolatry is inherently evil, but I see no evidence
that the followers of the various other religions of the area and time
were particularly bad people, relative to the people in the Bible.


Sounds good, but it presupposes teeth-rending neighbors, which I see
no support for.  One can argue that post-facto assertion of inhumane
neighbors can be used to make moral points, but that doesn't mean that
the actual neighbors really were inhuman.  More to the point, such
dehumanization of the people across the river or over the mountain, or
even of a different people dwelling among us, is all too common.


Note that I'm speaking of historical interpretation here, for instance
claiming that Hammurabi's ""an eye for an eye"" was primitive brutal
retribution, while Moses' version was an enlightened benign fine
(because the tradition has since interpreted the phrase that way).  As
of 3000 years ago or so, they probably both meant the same thing.


I don't belittle the accomplishments, particularly the intellectual
ones, of the Jewish people.  I have given up on trying to think by
analogy, since I don't know of any other 'tribe' that is at all
similar (the closest I can think of are the Romany, but I don't know
enough about them to make a meaningful comparison).  I think a
tradition of reflective study, of flexible rather than dogmatic
interpretation, is a good thing.  I think that with such an attitude a
case could be made that you could have done as well starting with a
1943 Captain America comic (or whatever the Babylonian equivalent
would have been).
-- 
Jim Perry   perry@dsinc.com   Decision Support, Inc., Matthews NC
These are my opinions.  For a nominal fee, they can be yours.

",0
"
Sorry, Fred, but for the purposes under discussion here, I must
disagree.  Your point is true only in the sense that one cannot argue
against communism by reference to the Chinese or Soviet empires, since
those did not represent *true* communism.  In judging the practical
consequences of Islam as a force to contend with in the world today,
it is precisely the Khomeini's of the world, the Rushdie-fatwa
supporters, and perhaps more importantly, the reaction of the world
Muslim community to those extremists, that we must look to.  Perhaps
unfortunately from your perspective, most people are not concerned
with whether Islam is the right religion for them, or whether the
Qur'an could be used as a guidebook for a hypothetical utopia, but how
Islam affects the world around them, or what their lives might be like
if Islam gains in influence.  When I consider such possibilities, it
is with not inconsiderable fear.",0
"[questions and issues WRT congress raised and discussed}

Dennis Replies;
...

Dennis, why must you always see things in black and white terms? :-)

-Tommy Mac
-------------------------------------------------------------------------
Tom McWilliams 517-355-2178 wk   \\ As the radius of vision increases,
18084tm@ibm.cl.msu.edu 336-9591 hm \\ the circumference of mystery grows.",2
"I have an addition to the FAQ regarding ""why are there no atheist
hospitals.""

If I recall correctly, Johns Hopkins was built to provide medical
services without the ""backing"" of a religious group...thus making it a
hospital ""dedicated to the glory of [weak] atheism.""

Might someone check up on this?
",0
"
Could you expand on your definition of knowing? It seems a bit monolithic
here, but I'm not sure that you intend that. Don't we need, for example, to
distinguish between ""knowing"" 2 plus 2 equals 4 (or 2 apples plus 2 apples
equals 4 apples), the French ""knowing"" that Jerry Lewis is an auteur, and
what it means to say we ""know"" what Socrates said?
",0
"
Did you watch the games????

",1
"             Cool!
	I think you mean Moon.
		(Sorry, I had to.)  ; )



",2
"2nd uptade:

Here are the standings for the poll after 29 votes: 5 points for 1st, 4 for 2nd,... 1 point for 5th: 

EA/ NHLPA game

1. DET 78
2. CHI 67 
3. VAN 60
4. NY  59
5. MTL 54
6. PIT 23
7. WAS 20
8. BOS 17
9..QUE  9 
10.CAL  8
11.ASW  7
12.LA   5
   TOR  5
14.ASE  4
   WIN  4
16.BUF  3
   PHI  3
18.SJ   2
19.MIN  1
   OTW  1
   Atlanta to win Turner Cup 1 (not in the game, but 1 person vote)


Continue to send your votes in this format (until April 20th, approximately)
------------------------------------------------
1.
2.
3.
4.
5.
------------------------------------------------
",1
"""Space Station Redesign Leader Says Cost Goal May Be
Impossible""

Today (4/6) the Washington Post ran an article with the
headline shown above. The article starts with ""A leader
of the NASA team in charge of redesigning the planned
space station said yesterday the job is tough and may
be impossible."" O'Connor is quoted saying whether it is
possible to cut costs that much and still provide for
meaningful research ""is a real question for me.""
O'Connor said ""everything is fair game,"" including
""dropping or curtailing existing contracts with the
aerospace industry, chopping management of the space
station program at some NASA facilities around the
country, working closely with the Russian space station
Mir, and using unmanned Titan rockets to supplement the
manned space shuttle fleet.""

O'Connor says his team has reviewed 30 design options
so far, and they are sorting the serious candidates
into three categories based on cost.

The Post says O'Connor described the design derived
from the current SSF as a high cost option (I believe
Kathy Sawyer, the Post writer, got confused here. I
listened in on part of O'Connor's briefing to the press
on Monday, and in one part of the briefing O'Connor
talked about how the White House wants three options,
sorted by cost [low, medium, and high]. In another part
of the briefing, he discussed the three teams he has
formed to look at three options [SSF derivative @ LaRC,
modular buildup with Bus-1 @ MSFC, and Single Launch
Core [""wingless Orbiter""] @ JSC. Later, in response to
a reporters question, I thought I heard O'Connor say
the option based on a SSF redesign was a ""moderate""
cost option, in between low & high cost options. Not
the ""high cost"" option as Sawyer wrote).

The article goes on to describe the other two options
as ""one features modules that could gradually be fitted
together in orbit, similar to the Russian Mir. The
other is a core facility that could be deposited in
orbit in a single launch, like Skylab. That option
would use existing hardware from the space shuttle -
the fuselage, for example, in its basic structure.""",2
"

NOOOOOOOOOOOOOOOOO!  Who's the mindscheme(?) behind this one -- Ted
Simmons?  As the saying goes, ""If it ain't broke, don't fix it.""  I'm 230
miles from home (during the school year) and will never be able to pick up
DVE.  At least now I can sort of make out what Mike and Steigy say through
all the static on KDKA.  This just may be enough reason for me to transfer
to Duquesne and live at home.  Who's going to announce on DVE anyway? 
Paulson and Krenn?  (Just kidding.)",1
"



SEI Level 5 (the highest level -- the SEI stands for Software
Engineering Institute).  I'm not sure, but I believe that this rating
only applies to the flight software.  Also keep in mind that it was
*not* achieved through the use of sophisticated tools, but rather
through a 'brute force and ignorance' attack on the problem during the
Challenger standdown - they simply threw hundreds of people at it and
did the whole process by hand.  I would not consider receiving a 'Warning'
status on systems which are not yet in use would detract much (if
anything) from such a rating -- I'll have to get the latest copy of
the guidelines to make sure (they just issued new ones, I think).

Also keep in mind that the SEI levels are concerned primarily with
control of the software process; the assumption is that a
well controlled process will produce good software.  Also keep in mind
that SEI Level 5 is DAMNED HARD.  Most software in this country is
produced by 'engineering practicies' that only rate an SEI Level 1 (if
that). 

-- 
""Insisting on perfect safety is for people who don't have the balls to live
 in the real world.""   -- Mary Shafer, NASA Ames Dryden",2
"
IMO, the influence of Stalin, or for that matter, Ayn Rand, invalidates your 
assumption that theism is the factor to be considered.  Gullibility, 
blind obedience to authority, lack of scepticism, and so on, are all more 
reliable indicators.  And the really dangerous people - the sources of
fanaticism - are often none of these things.  They are cynical manipulators
of the gullible, who know precisely what they are doing.  Now, *some*
brands of theism, and more precisely *some* theists, do tend to fanaticism,
I grant you.  To tar all theists with this brush is bigotry, not a reasoned
argument - and it reads to me like a warm-up for censorship and restriction
of religious freedom.  Ever read Animal Farm?


Well, there is a glaring paradox here:  an argument that reason is useful
based on reason would be circular, and argument not based on reason would
be irrational.  Which is it?

The first part of the second statement contains no information, because
you don't say what ""the beliefs"" are.  If ""the beliefs"" are strong theism 
and/or strong atheism, then your statement is not in general true.  The
second part of your sentence is patently false - counterexample: an
axiomatic datum does not lend itself to rational analysis, but is
assumed to contain reliable information regardless of what process is
used to obtain it.


I can't agree with this until you are specific - *which* theism?  To
say that all theism is necessarily antirational requires a proof which
I suspect you do not have.


I don't understand this.  Can you formalise your argument?",0
"

Ejon Matejevic who was a full professor at Clarkson University, last
I heard,  developed the process for sticking Teflon to metals.

I don't think it was a NASA project, cuz i heard he held the patent
on it, and had made quite a bundle off it.

Anyone from Clarkson know the Exact story.  I never wanted to ask
him myself.",2
"It has been known for quite a while that the earth is actually more pear
shaped than globular/spherical.  Does anyone make a ""globe"" that is accurate
as to actual shape, landmass configuration/Long/Lat lines etc.?
Thanks in advance.

--

bill@xpresso.UUCP                   (Bill Vance),             Bothell, WA
rwing!xpresso!bill",2
"
  
 
Wake up and smell the Norris!!  Rick Zombo was traded to the Blues for Vince
Riendo (sp?) last season.  ",1
"Background: The Orion spacedrive was a theoretical concept.  It
would be a drive using thermonuclear explosions to drive a spacecraft.
The idea was that you'd detonate devices with somewhere from one to
ten megatons yield behind a ""pusher plate"" attached to the main
spacecraft.  The shock wave from the explosions would transfer
momentum to the ship.

  Now, in an atmosphere I can see this.  The energy of the explosion
heats the atmosphere, which expands explosively and slams a shock wave
into the pusher plate.  But in a vacuum, only two things I can see are
going to hit the plate: fission/fusion products (barium, krypton,
helium, neutrons, evaporated bomb casing) and electromagnetic
radiation (gammas mostly, some light/heat from irradiated fission
products).

  Would this work?  I can't see the EM radiation impelling very much
momentum (especially given the mass of the pusher plate), and it seems
to me you're going to get more momentum transfer throwing the bombs
out the back of the ship than you get from detonating them once
they're there.

  I must be missing something.  Would someone enlighten me via email?

  Thanks.

-- 
	--Jim
",2
"
Yes, unless the observer is at rest with respect to the singularity at
infinite distance away. But an observer on a close approach to the BH will
see the particle go in in finite time.

Peter",0
"
The ""artist renderings"" that I've seen of the HST reboost still have
the arrays fully extended, with a cradle holding HST at a ~30 degree
angle to the Shuttle.  I think the rendering was conceived before the
array replacemnet was approved, so I'm not sure if the current reboost
will occur with the arrays deployed or not.  However, it doesn't 
appear that an array retraction was necessary for reboost.

Thanks for the input on GRO's S/A design constraints.  That would 
explain the similar design on UARS.


Heck, the MMS project used to design _missions_ with servicing in mind.
The XTE spacecraft was originally designed as an on-orbit replacement
for the instrument module on EUVE.  That way, you get two instruments
for the price of one spacecraft bus (the Explorer Platform).  A 
second on-orbit replacement was also considered, with the FUSE telescope.
",2
"


Well ...
Have a look at a new journal: Journal of Experimental Mathematics
It has several Fields medallists on its editorial board.
You want to knwo more?
Try Klaus Peters in Boston or David Epstein at Warwick .
",2
"
[Dan's article deleted]

I found the same add in our local Sunday newspaper.
The add was placed in the ..... cartoon section!
The perfect place for it ! :-)",0
"
Well, this particular thread of vituperation slopped its venom over
into alt.atheism, where we spend most of our time entertaining
arguments against our belief system, without resorting to accusing
others of bigotry.  It's somewhat ironic that our exposure to bigotry
happens in this instance to have originated in rec.scouting, since I
always understood scouting to teach tolerance and diversity.  I
understand bigotry to be irrational prejudice against other people who
happen to be of a different race, religion, ethnic background, sex, or
other inconsequential characteristics.  All the evidence I've seen
indicates that sexual orientation and lack of belief in gods are
exactly such inconsequential characteristics.  Thus, pending further
evidence, I conclude that those who show prejudice against such people
are bigots, and organizations that exclude such people are
discriminatory.",0
"   >Does anyone know how to size cold gas roll control thruster tanks
   >for sounding rockets?

   Well, first you work out how much cold gas you need, then make the
   tanks big enough.

Our sounding rocket payload, with telemetry, guidance, etc. etc. and a
telescope cluster, weighs around 1100 pounds.  It uses freon jets for
steering and a pulse-width-modulated controller for alignment (ie
during our eight minutes in space, the jets are pretty much
continuously firing on a ~10% duty cycle or so...).  The jets also
need to kill residual angular momentum from the spin stabilization, and
flip the payload around to look at the Sun.

We have two freon tanks, each holding ~5 liters of freon (I'm speaking
only from memory of the last flight).  The ground crew at WSMR choose how
much freon to use based on some black-magic algorithm.  They have
extra tank modules that just bolt into the payload stack.

This should give you an idea of the order of magnitude for cold gas 
quantity.  If you really need to know, send me email and I'll try to get you
in touch with our ground crew people.

Cheers,
Craig
",2
"
So in other words, if Roussel shuts out the Sharks and Soderstrom shuts out
the Penguins, that's immaterial because it was the coaches decision? Come on,
Joe, think about what you're saying! Who they played is VERY significant.
Why they played them is what's irrelevent. A low GAA against good teams
is better than a low GAA against bad teams in the context of comparing two
goaltenders. A low GAA is better then a higher GAA. A low GAA against good
teams is much, much better than a higher GAA against bad teams in the context
of comparing two goaltenders.


YES IT DOES! Absolutely. **In the context of comparing two goaltenders**.
Of course, at the end of the season 2 points is 2 points no matter how you
get them. And on the score sheets shutouts are shutouts. But if you're a
coach deciding between two goalies, or a GM looking to make a trade, you
have got to look deeper than the stat sheets. I didn't see the second Toronto
game, but the first one was a defensive masterpiece. There was nothing in
that game to judge Tommy Soderstrom on because he wasn't tested. The same
for Roussel in the Ranger game. Two real scoring chances, one he made a
great play, the other he was saved by a mistake from the other player. If
you were judging Roussel on that game alone, you have very little to go by.

But if you were to look at the 0-0 tie against the Habs, you saw a goalie
stand on his head to get that shutout. THAT was a #1 goalie in action. Roussel
doesn't have a game like that in him.


Don't be so sure of that. FLYERS management never says bad thing about
Roussel, but they don't say too much on the good side either. I've seen
at least two interviews where every time Farwell was asked how happy he was
to have two good goaltenders, it was Tommy this, Tommy that, and oh, yeah,
Dom has played well too.


FLYERS in the NHL Hall of Fame. Kinda dull, really. They handed out a
team picture to everybody who walked in from Pizza Hut, but it was the
same picture they sold in the programs in mid-season. Had names like Benning,
Kasper...


Mostly random seat locations, some were given out by having certain
autographs on the team photos. I don't like that method since I've seen
guards help out people get things like Lindros pictures, surely if they
got their hands on an autographed picture they'd hold 'em for their buddies.",1
"
Since this is alt.atheism, I hope you don't mind if we strongly disagree...

: The fact is God could cause you to believe anything He wants you to. 
: But think about it for a minute.  Would you rather have someone love
: you because you made them love you, or because they wanted to
: love you.     The responsibility is on you to love God and take a step toward
: Him.  He promises to be there for you, but you have to look for yourself.

Indeed, ""knock and it shall be opened to you"". Dan, why didn't this work?
I firmly believed in god for 15 years, but I eventually realised I was
only deluding myself, fearful to face the truth. Ultimately, the only reason
what kept me believing was the fear of hell. The mental states I 
had sillily attributed to divine forces or devil's attempts to 
destroy my faith were nothing more than my imagination, and it is easy
to achieve the same mental states at will. 

My faith was just learned fear in a disguise.

: Those who doubt this or dispute it have not givin it a sincere effort.

God is demanding too much. Dan, what was it I believed in for 15 years?
If sincere effort is equivalent to active suspension of disbelief -
what it was in my case - I'd rather quit. If god does not help me to
keep the faith, I can't go on. 

Besides, I am concerned with god's morality and mental health. Does
she really want us to _believe_ in herself without any help (revelations,
guidance, or anything I can feel)? If she has created us, why didn't
she make the task any easier? Why are we supposed to love someone who
refuses to communicate with us? What is the point of eternal torture
for those who can't believe?

I love god just as much as she loves me. If she wants to seduce me,
she'll know what to do. 

: Simple logic arguments are folly.  If you read the Bible you will see
: that Jesus made fools of those who tried to trick him with ""logic"".
: Our ability to reason is just a spec of creation.  Yet some think it is
: the ultimate.  If you rely simply on your reason then you will never
: know more than you do now. 

Your argument is of the type ""you'll know once you try"".
Yet there are many atheists who have sincerely tried, and believed
for many years, but were eventually honest enough to admit that 
they had lived in a virtual reality.

What else but reason I can use? I don't have the spiritual means 
Christians often refer to. My conscience disagrees with the Bible.
I don't even believe I have a soul. I am fully dependent on my
body - indeed, I _am_ this body. When it goes up with flames, so
does my identity. God can entertain herself with copies of me
if she wants.

: To learn you must accept that which you don't know.

What does this mean? To learn you must accept that you don't know 
something, right-o. But to learn you must _accept_ something I don't
know, why? This is not the way I prefer to learn. It is unwise to
merely swallow everything you read. Suppose I write a book telling
how the Great Invisible Pink Unicorn (tm) has helped me in my
daily problems, would you accept this, since you can't know whether
it is true or not?

Note that the GIPU is also omnipotent, omnipresent, and loves just
about everyone. Besides, He (and She) is guiding every writer on this planet,
you and me, and not just some people who write legendary stories
2000 years ago.

Your god is just one aspect of His and Her Presence.

Petri
",0
